Befragte,Zeitraum,Partei,Ergebnis,Tag,Monat,Jahr,Art,Region,Institut,Datum
1088.0,27.01.–09.02.,CDU/CSU,30.0,15,2,2023,Umfrage,Deutschland,Allensbach,2023-02-15
1023.0,05.01.–18.01.,CDU/CSU,31.0,26,1,2023,Umfrage,Deutschland,Allensbach,2023-01-26
1035.0,02.12.–15.12.,CDU/CSU,30.0,21,12,2022,Umfrage,Deutschland,Allensbach,2022-12-21
1042.0,05.11.–17.11.,CDU/CSU,29.5,24,11,2022,Umfrage,Deutschland,Allensbach,2022-11-24
1021.0,01.10.–13.10.,CDU/CSU,30.5,20,10,2022,Umfrage,Deutschland,Allensbach,2022-10-20
1030.0,01.09.–14.09.,CDU/CSU,30.0,16,9,2022,Umfrage,Deutschland,Allensbach,2022-09-16
1038.0,05.08.–08.08.,CDU/CSU,29.0,24,8,2022,Umfrage,Deutschland,Allensbach,2022-08-24
1006.0,08.07.–21.07.,CDU/CSU,27.5,27,7,2022,Umfrage,Deutschland,Allensbach,2022-07-27
1046.0,03.06.–17.06.,CDU/CSU,27.0,22,6,2022,Umfrage,Deutschland,Allensbach,2022-06-22
1118.0,06.05.–18.05.,CDU/CSU,29.0,27,5,2022,Umfrage,Deutschland,Allensbach,2022-05-27
1075.0,25.03.–06.04.,CDU/CSU,24.0,13,4,2022,Umfrage,Deutschland,Allensbach,2022-04-13
1041.0,09.03.–21.03.,CDU/CSU,25.0,24,3,2022,Umfrage,Deutschland,Allensbach,2022-03-24
1033.0,03.02.–16.02.,CDU/CSU,27.0,24,2,2022,Umfrage,Deutschland,Allensbach,2022-02-24
1090.0,06.01.–20.01.,CDU/CSU,23.0,26,1,2022,Umfrage,Deutschland,Allensbach,2022-01-26
1069.0,01.12.–15.12.,CDU/CSU,24.0,22,12,2021,Umfrage,Deutschland,Allensbach,2021-12-22
1016.0,29.10.–11.11.,CDU/CSU,23.0,18,11,2021,Umfrage,Deutschland,Allensbach,2021-11-18
1045.0,01.10.–14.10.,CDU/CSU,21.0,20,10,2021,Umfrage,Deutschland,Allensbach,2021-10-20
,,CDU/CSU,24.1,26,9,2021,Wahl,Deutschland,Allensbach,2021-09-26
1554.0,16.09.–23.09.,CDU/CSU,25.0,24,9,2021,Umfrage,Deutschland,Allensbach,2021-09-24
1258.0,01.09.–07.09.,CDU/CSU,25.0,8,9,2021,Umfrage,Deutschland,Allensbach,2021-09-08
1038.0,18.08.–26.08.,CDU/CSU,26.0,28,8,2021,Umfrage,Deutschland,Allensbach,2021-08-28
1018.0,05.08.–17.08.,CDU/CSU,27.5,19,8,2021,Umfrage,Deutschland,Allensbach,2021-08-19
1243.0,03.07.–22.07.,CDU/CSU,30.0,28,7,2021,Umfrage,Deutschland,Allensbach,2021-07-28
1028.0,03.07.–14.07.,CDU/CSU,31.5,20,7,2021,Umfrage,Deutschland,Allensbach,2021-07-20
1070.0,28.05.–09.06.,CDU/CSU,29.5,16,6,2021,Umfrage,Deutschland,Allensbach,2021-06-16
1027.0,01.05.–13.05.,CDU/CSU,27.5,19,5,2021,Umfrage,Deutschland,Allensbach,2021-05-19
1051.0,06.04.–15.04.,CDU/CSU,28.0,21,4,2021,Umfrage,Deutschland,Allensbach,2021-04-21
1006.0,08.03.–21.03.,CDU/CSU,28.5,24,3,2021,Umfrage,Deutschland,Allensbach,2021-03-24
1082.0,04.02.–17.02.,CDU/CSU,37.0,25,2,2021,Umfrage,Deutschland,Allensbach,2021-02-25
1080.0,10.01.–20.01.,CDU/CSU,37.0,28,1,2021,Umfrage,Deutschland,Allensbach,2021-01-28
1022.0,28.11.–10.12.,CDU/CSU,37.0,16,12,2020,Umfrage,Deutschland,Allensbach,2020-12-16
1286.0,01.11.–11.11.,CDU/CSU,37.0,18,11,2020,Umfrage,Deutschland,Allensbach,2020-11-18
1045.0,07.10.–20.10.,CDU/CSU,35.5,23,10,2020,Umfrage,Deutschland,Allensbach,2020-10-23
1043.0,04.09.–16.09.,CDU/CSU,37.0,22,9,2020,Umfrage,Deutschland,Allensbach,2020-09-22
1231.0,05.08.–18.08.,CDU/CSU,38.0,27,8,2020,Umfrage,Deutschland,Allensbach,2020-08-27
1237.0,03.07.–16.07.,CDU/CSU,38.0,22,7,2020,Umfrage,Deutschland,Allensbach,2020-07-22
1314.0,01.06.–13.06.,CDU/CSU,40.0,18,6,2020,Umfrage,Deutschland,Allensbach,2020-06-18
1013.0,06.05.–14.05.,CDU/CSU,38.0,22,5,2020,Umfrage,Deutschland,Allensbach,2020-05-22
1152.0,01.04.–15.04.,CDU/CSU,38.0,24,4,2020,Umfrage,Deutschland,Allensbach,2020-04-24
1219.0,05.03.–18.03.,CDU/CSU,29.0,25,3,2020,Umfrage,Deutschland,Allensbach,2020-03-25
1262.0,01.02.–12.02.,CDU/CSU,27.5,19,2,2020,Umfrage,Deutschland,Allensbach,2020-02-19
1273.0,09.01.–22.01.,CDU/CSU,28.5,29,1,2020,Umfrage,Deutschland,Allensbach,2020-01-29
1270.0,01.12.–11.12.,CDU/CSU,28.5,19,12,2019,Umfrage,Deutschland,Allensbach,2019-12-19
1298.0,02.11.–13.11.,CDU/CSU,29.5,19,11,2019,Umfrage,Deutschland,Allensbach,2019-11-19
1238.0,27.09.–10.10.,CDU/CSU,29.5,16,10,2019,Umfrage,Deutschland,Allensbach,2019-10-16
1255.0,01.09.–12.09.,CDU/CSU,29.0,17,9,2019,Umfrage,Deutschland,Allensbach,2019-09-17
1262.0,02.08.–15.08.,CDU/CSU,29.5,21,8,2019,Umfrage,Deutschland,Allensbach,2019-08-21
1228.0,01.07.–11.07.,CDU/CSU,29.5,24,7,2019,Umfrage,Deutschland,Allensbach,2019-07-24
1273.0,01.06.–12.06.,CDU/CSU,29.0,21,6,2019,Umfrage,Deutschland,Allensbach,2019-06-21
1283.0,03.05.–16.05.,CDU/CSU,30.0,23,5,2019,Umfrage,Deutschland,Allensbach,2019-05-23
1305.0,01.04.–12.04.,CDU/CSU,30.0,18,4,2019,Umfrage,Deutschland,Allensbach,2019-04-18
1198.0,07.03.–21.03.,CDU/CSU,30.0,27,3,2019,Umfrage,Deutschland,Allensbach,2019-03-27
1222.0,01.02.–13.02.,CDU/CSU,30.0,19,2,2019,Umfrage,Deutschland,Allensbach,2019-02-19
1249.0,05.01.–17.01.,CDU/CSU,31.5,23,1,2019,Umfrage,Deutschland,Allensbach,2019-01-23
1295.0,01.12.–12.12.,CDU/CSU,29.0,20,12,2018,Umfrage,Deutschland,Allensbach,2018-12-20
1242.0,02.11.–15.11.,CDU/CSU,28.0,30,11,2018,Umfrage,Deutschland,Allensbach,2018-11-30
1259.0,28.09.–11.10.,CDU/CSU,29.0,18,10,2018,Umfrage,Deutschland,Allensbach,2018-10-18
1258.0,01.09.–13.09.,CDU/CSU,31.5,18,9,2018,Umfrage,Deutschland,Allensbach,2018-09-18
1295.0,27.07.–09.08.,CDU/CSU,31.0,15,8,2018,Umfrage,Deutschland,Allensbach,2018-08-15
1295.0,01.07.–12.07.,CDU/CSU,30.5,17,7,2018,Umfrage,Deutschland,Allensbach,2018-07-17
1279.0,01.06.–13.06.,CDU/CSU,33.0,20,6,2018,Umfrage,Deutschland,Allensbach,2018-06-20
1253.0,24.04.–08.05.,CDU/CSU,34.0,17,5,2018,Umfrage,Deutschland,Allensbach,2018-05-17
1279.0,03.04.–17.04.,CDU/CSU,34.0,25,4,2018,Umfrage,Deutschland,Allensbach,2018-04-25
1256.0,02.03.–15.03.,CDU/CSU,34.0,21,3,2018,Umfrage,Deutschland,Allensbach,2018-03-21
1271.0,02.02.–15.02.,CDU/CSU,32.0,23,2,2018,Umfrage,Deutschland,Allensbach,2018-02-23
1221.0,05.01.–18.01.,CDU/CSU,34.0,25,1,2018,Umfrage,Deutschland,Allensbach,2018-01-25
1443.0,01.12.–14.12.,CDU/CSU,34.0,21,12,2017,Umfrage,Deutschland,Allensbach,2017-12-21
1299.0,22.11.–27.11.,CDU/CSU,33.0,30,11,2017,Umfrage,Deutschland,Allensbach,2017-11-30
1454.0,07.10.–19.10.,CDU/CSU,33.0,25,10,2017,Umfrage,Deutschland,Allensbach,2017-10-25
,,CDU/CSU,32.9,24,9,2017,Wahl,Deutschland,Allensbach,2017-09-24
1064.0,09.02.–20.02.,SPD,14.5,21,2,2025,Umfrage,Deutschland,Allensbach,2025-02-21
1021.0,31.01.–12.02.,SPD,15.0,13,2,2025,Umfrage,Deutschland,Allensbach,2025-02-13
1015.0,07.01.–19.01.,SPD,17.0,23,1,2025,Umfrage,Deutschland,Allensbach,2025-01-23
1006.0,30.11.–12.12.,SPD,16.0,20,12,2024,Umfrage,Deutschland,Allensbach,2024-12-20
1049.0,02.11.–14.11.,SPD,15.0,22,11,2024,Umfrage,Deutschland,Allensbach,2024-11-22
1041.0,28.09.–11.10.,SPD,15.0,18,10,2024,Umfrage,Deutschland,Allensbach,2024-10-18
1017.0,29.08.–11.09.,SPD,16.0,19,9,2024,Umfrage,Deutschland,Allensbach,2024-09-19
1051.0,03.08.–15.08.,SPD,16.0,22,8,2024,Umfrage,Deutschland,Allensbach,2024-08-22
1003.0,05.07.–19.07.,SPD,16.5,25,7,2024,Umfrage,Deutschland,Allensbach,2024-07-25
1084.0,01.06.–13.06.,SPD,16.0,20,6,2024,Umfrage,Deutschland,Allensbach,2024-06-20
1093.0,04.05.–16.05.,SPD,17.5,24,5,2024,Umfrage,Deutschland,Allensbach,2024-05-24
1041.0,05.04.–18.04.,SPD,16.0,26,4,2024,Umfrage,Deutschland,Allensbach,2024-04-26
1027.0,01.03.–14.03.,SPD,15.0,21,3,2024,Umfrage,Deutschland,Allensbach,2024-03-21
1053.0,03.02.–15.02.,SPD,15.0,22,2,2024,Umfrage,Deutschland,Allensbach,2024-02-22
1018.0,05.01.–18.01.,SPD,15.0,25,1,2024,Umfrage,Deutschland,Allensbach,2024-01-25
1013.0,01.12.–14.12.,SPD,17.0,21,12,2023,Umfrage,Deutschland,Allensbach,2023-12-21
1047.0,03.11.–16.11.,SPD,17.0,23,11,2023,Umfrage,Deutschland,Allensbach,2023-11-23
1010.0,06.10.–19.10.,SPD,17.0,25,10,2023,Umfrage,Deutschland,Allensbach,2023-10-25
1030.0,04.09.–15.09.,SPD,18.0,21,9,2023,Umfrage,Deutschland,Allensbach,2023-09-21
1026.0,04.08.–16.08.,SPD,19.0,23,8,2023,Umfrage,Deutschland,Allensbach,2023-08-23
1011.0,07.07.–19.07.,SPD,19.0,27,7,2023,Umfrage,Deutschland,Allensbach,2023-07-27
1039.0,09.06.–22.06.,SPD,19.0,29,6,2023,Umfrage,Deutschland,Allensbach,2023-06-29
1001.0,28.04.–10.05.,SPD,18.0,18,5,2023,Umfrage,Deutschland,Allensbach,2023-05-18
1007.0,03.04.–18.04.,SPD,20.0,26,4,2023,Umfrage,Deutschland,Allensbach,2023-04-26
1101.0,02.03.–15.03.,SPD,21.0,23,3,2023,Umfrage,Deutschland,Allensbach,2023-03-23
1088.0,27.01.–09.02.,SPD,22.5,15,2,2023,Umfrage,Deutschland,Allensbach,2023-02-15
1023.0,05.01.–18.01.,SPD,21.0,26,1,2023,Umfrage,Deutschland,Allensbach,2023-01-26
1035.0,02.12.–15.12.,SPD,22.0,21,12,2022,Umfrage,Deutschland,Allensbach,2022-12-21
1042.0,05.11.–17.11.,SPD,20.0,24,11,2022,Umfrage,Deutschland,Allensbach,2022-11-24
1021.0,01.10.–13.10.,SPD,19.0,20,10,2022,Umfrage,Deutschland,Allensbach,2022-10-20
1030.0,01.09.–14.09.,SPD,20.0,16,9,2022,Umfrage,Deutschland,Allensbach,2022-09-16
1038.0,05.08.–08.08.,SPD,19.5,24,8,2022,Umfrage,Deutschland,Allensbach,2022-08-24
1006.0,08.07.–21.07.,SPD,22.0,27,7,2022,Umfrage,Deutschland,Allensbach,2022-07-27
1046.0,03.06.–17.06.,SPD,23.0,22,6,2022,Umfrage,Deutschland,Allensbach,2022-06-22
1118.0,06.05.–18.05.,SPD,24.0,27,5,2022,Umfrage,Deutschland,Allensbach,2022-05-27
1075.0,25.03.–06.04.,SPD,28.0,13,4,2022,Umfrage,Deutschland,Allensbach,2022-04-13
1041.0,09.03.–21.03.,SPD,25.0,24,3,2022,Umfrage,Deutschland,Allensbach,2022-03-24
1033.0,03.02.–16.02.,SPD,25.0,24,2,2022,Umfrage,Deutschland,Allensbach,2022-02-24
1090.0,06.01.–20.01.,SPD,27.5,26,1,2022,Umfrage,Deutschland,Allensbach,2022-01-26
1069.0,01.12.–15.12.,SPD,26.0,22,12,2021,Umfrage,Deutschland,Allensbach,2021-12-22
1016.0,29.10.–11.11.,SPD,27.0,18,11,2021,Umfrage,Deutschland,Allensbach,2021-11-18
1045.0,01.10.–14.10.,SPD,28.0,20,10,2021,Umfrage,Deutschland,Allensbach,2021-10-20
,,SPD,25.7,26,9,2021,Wahl,Deutschland,Allensbach,2021-09-26
1554.0,16.09.–23.09.,SPD,26.0,24,9,2021,Umfrage,Deutschland,Allensbach,2021-09-24
1258.0,01.09.–07.09.,SPD,27.0,8,9,2021,Umfrage,Deutschland,Allensbach,2021-09-08
1038.0,18.08.–26.08.,SPD,24.0,28,8,2021,Umfrage,Deutschland,Allensbach,2021-08-28
1018.0,05.08.–17.08.,SPD,19.5,19,8,2021,Umfrage,Deutschland,Allensbach,2021-08-19
1243.0,03.07.–22.07.,SPD,16.0,28,7,2021,Umfrage,Deutschland,Allensbach,2021-07-28
1028.0,03.07.–14.07.,SPD,16.5,20,7,2021,Umfrage,Deutschland,Allensbach,2021-07-20
1070.0,28.05.–09.06.,SPD,17.0,16,6,2021,Umfrage,Deutschland,Allensbach,2021-06-16
1027.0,01.05.–13.05.,SPD,16.0,19,5,2021,Umfrage,Deutschland,Allensbach,2021-05-19
1051.0,06.04.–15.04.,SPD,16.5,21,4,2021,Umfrage,Deutschland,Allensbach,2021-04-21
1006.0,08.03.–21.03.,SPD,18.0,24,3,2021,Umfrage,Deutschland,Allensbach,2021-03-24
1082.0,04.02.–17.02.,SPD,15.0,25,2,2021,Umfrage,Deutschland,Allensbach,2021-02-25
1080.0,10.01.–20.01.,SPD,16.0,28,1,2021,Umfrage,Deutschland,Allensbach,2021-01-28
1022.0,28.11.–10.12.,SPD,16.5,16,12,2020,Umfrage,Deutschland,Allensbach,2020-12-16
1286.0,01.11.–11.11.,SPD,17.0,18,11,2020,Umfrage,Deutschland,Allensbach,2020-11-18
1045.0,07.10.–20.10.,SPD,17.0,23,10,2020,Umfrage,Deutschland,Allensbach,2020-10-23
1043.0,04.09.–16.09.,SPD,17.0,22,9,2020,Umfrage,Deutschland,Allensbach,2020-09-22
1231.0,05.08.–18.08.,SPD,17.0,27,8,2020,Umfrage,Deutschland,Allensbach,2020-08-27
1237.0,03.07.–16.07.,SPD,15.5,22,7,2020,Umfrage,Deutschland,Allensbach,2020-07-22
1314.0,01.06.–13.06.,SPD,16.0,18,6,2020,Umfrage,Deutschland,Allensbach,2020-06-18
1013.0,06.05.–14.05.,SPD,15.5,22,5,2020,Umfrage,Deutschland,Allensbach,2020-05-22
1152.0,01.04.–15.04.,SPD,16.0,24,4,2020,Umfrage,Deutschland,Allensbach,2020-04-24
1219.0,05.03.–18.03.,SPD,16.5,25,3,2020,Umfrage,Deutschland,Allensbach,2020-03-25
1262.0,01.02.–12.02.,SPD,14.5,19,2,2020,Umfrage,Deutschland,Allensbach,2020-02-19
1273.0,09.01.–22.01.,SPD,14.0,29,1,2020,Umfrage,Deutschland,Allensbach,2020-01-29
1270.0,01.12.–11.12.,SPD,15.0,19,12,2019,Umfrage,Deutschland,Allensbach,2019-12-19
1298.0,02.11.–13.11.,SPD,14.0,19,11,2019,Umfrage,Deutschland,Allensbach,2019-11-19
1238.0,27.09.–10.10.,SPD,16.0,16,10,2019,Umfrage,Deutschland,Allensbach,2019-10-16
1255.0,01.09.–12.09.,SPD,15.0,17,9,2019,Umfrage,Deutschland,Allensbach,2019-09-17
1262.0,02.08.–15.08.,SPD,13.5,21,8,2019,Umfrage,Deutschland,Allensbach,2019-08-21
1228.0,01.07.–11.07.,SPD,14.5,24,7,2019,Umfrage,Deutschland,Allensbach,2019-07-24
1273.0,01.06.–12.06.,SPD,12.0,21,6,2019,Umfrage,Deutschland,Allensbach,2019-06-21
1283.0,03.05.–16.05.,SPD,17.5,23,5,2019,Umfrage,Deutschland,Allensbach,2019-05-23
1305.0,01.04.–12.04.,SPD,18.5,18,4,2019,Umfrage,Deutschland,Allensbach,2019-04-18
1198.0,07.03.–21.03.,SPD,18.0,27,3,2019,Umfrage,Deutschland,Allensbach,2019-03-27
1222.0,01.02.–13.02.,SPD,18.0,19,2,2019,Umfrage,Deutschland,Allensbach,2019-02-19
1249.0,05.01.–17.01.,SPD,16.5,23,1,2019,Umfrage,Deutschland,Allensbach,2019-01-23
1295.0,01.12.–12.12.,SPD,16.5,20,12,2018,Umfrage,Deutschland,Allensbach,2018-12-20
1242.0,02.11.–15.11.,SPD,17.0,30,11,2018,Umfrage,Deutschland,Allensbach,2018-11-30
1259.0,28.09.–11.10.,SPD,19.0,18,10,2018,Umfrage,Deutschland,Allensbach,2018-10-18
1258.0,01.09.–13.09.,SPD,19.5,18,9,2018,Umfrage,Deutschland,Allensbach,2018-09-18
1295.0,27.07.–09.08.,SPD,20.0,15,8,2018,Umfrage,Deutschland,Allensbach,2018-08-15
1295.0,01.07.–12.07.,SPD,20.0,17,7,2018,Umfrage,Deutschland,Allensbach,2018-07-17
1279.0,01.06.–13.06.,SPD,21.0,20,6,2018,Umfrage,Deutschland,Allensbach,2018-06-20
1253.0,24.04.–08.05.,SPD,20.0,17,5,2018,Umfrage,Deutschland,Allensbach,2018-05-17
1279.0,03.04.–17.04.,SPD,20.5,25,4,2018,Umfrage,Deutschland,Allensbach,2018-04-25
1256.0,02.03.–15.03.,SPD,19.0,21,3,2018,Umfrage,Deutschland,Allensbach,2018-03-21
1271.0,02.02.–15.02.,SPD,17.5,23,2,2018,Umfrage,Deutschland,Allensbach,2018-02-23
1221.0,05.01.–18.01.,SPD,21.0,25,1,2018,Umfrage,Deutschland,Allensbach,2018-01-25
1443.0,01.12.–14.12.,SPD,21.0,21,12,2017,Umfrage,Deutschland,Allensbach,2017-12-21
1299.0,22.11.–27.11.,SPD,21.5,30,11,2017,Umfrage,Deutschland,Allensbach,2017-11-30
1454.0,07.10.–19.10.,SPD,20.5,25,10,2017,Umfrage,Deutschland,Allensbach,2017-10-25
,,SPD,20.5,24,9,2017,Wahl,Deutschland,Allensbach,2017-09-24
1064.0,09.02.–20.02.,GRÜNE,12.0,21,2,2025,Umfrage,Deutschland,Allensbach,2025-02-21
1021.0,31.01.–12.02.,GRÜNE,13.0,13,2,2025,Umfrage,Deutschland,Allensbach,2025-02-13
1015.0,07.01.–19.01.,GRÜNE,13.5,23,1,2025,Umfrage,Deutschland,Allensbach,2025-01-23
1006.0,30.11.–12.12.,GRÜNE,12.0,20,12,2024,Umfrage,Deutschland,Allensbach,2024-12-20
1049.0,02.11.–14.11.,GRÜNE,10.0,22,11,2024,Umfrage,Deutschland,Allensbach,2024-11-22
1041.0,28.09.–11.10.,GRÜNE,10.5,18,10,2024,Umfrage,Deutschland,Allensbach,2024-10-18
1017.0,29.08.–11.09.,GRÜNE,10.0,19,9,2024,Umfrage,Deutschland,Allensbach,2024-09-19
1051.0,03.08.–15.08.,GRÜNE,11.5,22,8,2024,Umfrage,Deutschland,Allensbach,2024-08-22
1003.0,05.07.–19.07.,GRÜNE,11.5,25,7,2024,Umfrage,Deutschland,Allensbach,2024-07-25
1084.0,01.06.–13.06.,GRÜNE,13.0,20,6,2024,Umfrage,Deutschland,Allensbach,2024-06-20
1093.0,04.05.–16.05.,GRÜNE,13.0,24,5,2024,Umfrage,Deutschland,Allensbach,2024-05-24
1041.0,05.04.–18.04.,GRÜNE,15.0,26,4,2024,Umfrage,Deutschland,Allensbach,2024-04-26
1027.0,01.03.–14.03.,GRÜNE,14.0,21,3,2024,Umfrage,Deutschland,Allensbach,2024-03-21
1053.0,03.02.–15.02.,GRÜNE,14.0,22,2,2024,Umfrage,Deutschland,Allensbach,2024-02-22
1018.0,05.01.–18.01.,GRÜNE,13.5,25,1,2024,Umfrage,Deutschland,Allensbach,2024-01-25
1013.0,01.12.–14.12.,GRÜNE,15.0,21,12,2023,Umfrage,Deutschland,Allensbach,2023-12-21
1047.0,03.11.–16.11.,GRÜNE,13.5,23,11,2023,Umfrage,Deutschland,Allensbach,2023-11-23
1010.0,06.10.–19.10.,GRÜNE,13.0,25,10,2023,Umfrage,Deutschland,Allensbach,2023-10-25
1030.0,04.09.–15.09.,GRÜNE,14.0,21,9,2023,Umfrage,Deutschland,Allensbach,2023-09-21
1026.0,04.08.–16.08.,GRÜNE,14.0,23,8,2023,Umfrage,Deutschland,Allensbach,2023-08-23
1011.0,07.07.–19.07.,GRÜNE,16.0,27,7,2023,Umfrage,Deutschland,Allensbach,2023-07-27
1039.0,09.06.–22.06.,GRÜNE,15.0,29,6,2023,Umfrage,Deutschland,Allensbach,2023-06-29
1001.0,28.04.–10.05.,GRÜNE,16.0,18,5,2023,Umfrage,Deutschland,Allensbach,2023-05-18
1007.0,03.04.–18.04.,GRÜNE,15.0,26,4,2023,Umfrage,Deutschland,Allensbach,2023-04-26
1101.0,02.03.–15.03.,GRÜNE,16.0,23,3,2023,Umfrage,Deutschland,Allensbach,2023-03-23
1088.0,27.01.–09.02.,GRÜNE,16.0,15,2,2023,Umfrage,Deutschland,Allensbach,2023-02-15
1023.0,05.01.–18.01.,GRÜNE,17.0,26,1,2023,Umfrage,Deutschland,Allensbach,2023-01-26
1035.0,02.12.–15.12.,GRÜNE,18.0,21,12,2022,Umfrage,Deutschland,Allensbach,2022-12-21
1042.0,05.11.–17.11.,GRÜNE,20.0,24,11,2022,Umfrage,Deutschland,Allensbach,2022-11-24
1021.0,01.10.–13.10.,GRÜNE,19.0,20,10,2022,Umfrage,Deutschland,Allensbach,2022-10-20
1030.0,01.09.–14.09.,GRÜNE,19.0,16,9,2022,Umfrage,Deutschland,Allensbach,2022-09-16
1038.0,05.08.–08.08.,GRÜNE,21.0,24,8,2022,Umfrage,Deutschland,Allensbach,2022-08-24
1006.0,08.07.–21.07.,GRÜNE,22.0,27,7,2022,Umfrage,Deutschland,Allensbach,2022-07-27
1046.0,03.06.–17.06.,GRÜNE,22.0,22,6,2022,Umfrage,Deutschland,Allensbach,2022-06-22
1118.0,06.05.–18.05.,GRÜNE,20.5,27,5,2022,Umfrage,Deutschland,Allensbach,2022-05-27
1075.0,25.03.–06.04.,GRÜNE,17.0,13,4,2022,Umfrage,Deutschland,Allensbach,2022-04-13
1041.0,09.03.–21.03.,GRÜNE,17.0,24,3,2022,Umfrage,Deutschland,Allensbach,2022-03-24
1033.0,03.02.–16.02.,GRÜNE,15.0,24,2,2022,Umfrage,Deutschland,Allensbach,2022-02-24
1090.0,06.01.–20.01.,GRÜNE,14.5,26,1,2022,Umfrage,Deutschland,Allensbach,2022-01-26
1069.0,01.12.–15.12.,GRÜNE,15.0,22,12,2021,Umfrage,Deutschland,Allensbach,2021-12-22
1016.0,29.10.–11.11.,GRÜNE,15.0,18,11,2021,Umfrage,Deutschland,Allensbach,2021-11-18
1045.0,01.10.–14.10.,GRÜNE,15.0,20,10,2021,Umfrage,Deutschland,Allensbach,2021-10-20
,,GRÜNE,14.8,26,9,2021,Wahl,Deutschland,Allensbach,2021-09-26
1554.0,16.09.–23.09.,GRÜNE,16.0,24,9,2021,Umfrage,Deutschland,Allensbach,2021-09-24
1258.0,01.09.–07.09.,GRÜNE,15.5,8,9,2021,Umfrage,Deutschland,Allensbach,2021-09-08
1038.0,18.08.–26.08.,GRÜNE,17.0,28,8,2021,Umfrage,Deutschland,Allensbach,2021-08-28
1018.0,05.08.–17.08.,GRÜNE,17.5,19,8,2021,Umfrage,Deutschland,Allensbach,2021-08-19
1243.0,03.07.–22.07.,GRÜNE,19.5,28,7,2021,Umfrage,Deutschland,Allensbach,2021-07-28
1028.0,03.07.–14.07.,GRÜNE,18.0,20,7,2021,Umfrage,Deutschland,Allensbach,2021-07-20
1070.0,28.05.–09.06.,GRÜNE,21.5,16,6,2021,Umfrage,Deutschland,Allensbach,2021-06-16
1027.0,01.05.–13.05.,GRÜNE,24.0,19,5,2021,Umfrage,Deutschland,Allensbach,2021-05-19
1051.0,06.04.–15.04.,GRÜNE,23.0,21,4,2021,Umfrage,Deutschland,Allensbach,2021-04-21
1006.0,08.03.–21.03.,GRÜNE,21.5,24,3,2021,Umfrage,Deutschland,Allensbach,2021-03-24
1082.0,04.02.–17.02.,GRÜNE,20.0,25,2,2021,Umfrage,Deutschland,Allensbach,2021-02-25
